product,itemCount,running_total
core.chargeable.exchange,2,2
core.chargeable.advancemailsec,2,4
core.chargeable.owa,2,6
core.chargeable.advancemailsec,2,8
core.chargeable.exchange,1,9
core.chargeable.advancemailsec,1,10
core.chargeable.exchange,1,11
core.chargeable.advancemailsec,1,12
core.chargeable.exchange,3,15
core.chargeable.advancemailsec,3,18
core.chargeable.exchange,3,21
core.chargeable.advancemailsec,3,24
core.chargeable.exchange,1,25
core.chargeable.advancemailsec,1,26
core.chargeable.exchange,3,29
core.chargeable.advancemailsec,3,32
core.chargeable.exchange,5,37
core.chargeable.advancemailsec,5,42
core.chargeable.exchange,98,140
core.chargeable.advancemailsec,98,238
core.chargeable.outlook,1,239
core.chargeable.exchange,1,240
core.chargeable.advancemailsec,1,241
core.chargeable.exchange,1,242
core.chargeable.advancemailsec,1,243
core.chargeable.exchange,2,245
core.chargeable.advancemailsec,2,247
core.chargeable.exchange,1,248
core.chargeable.advancemailsec,1,249
core.chargeable.exchange,3,252
core.chargeable.advancemailsec,3,255
core.chargeable.exchange,49,304
core.chargeable.advancemailsec,49,353
core.chargeable.outlook,1,354
core.chargeable.exchange,1,355
core.chargeable.advancemailsec,1,356
core.chargeable.exchange,1,357
core.chargeable.advancemailsec,1,358
core.chargeable.exchange,4,362
core.chargeable.advancemailsec,4,366
core.chargeable.exchange,1,367
core.chargeable.advancemailsec,1,368
core.chargeable.exchange,3,371
core.chargeable.advancemailsec,3,374
core.chargeable.exchange,2,376
core.chargeable.advancemailsec,2,378
core.chargeable.outlook,1,379
core.chargeable.exchange,1,380
core.chargeable.advancemailsec,1,381
core.chargeable.exchange,4,385
core.chargeable.advancemailsec,4,389
core.chargeable.exchange,1,390
core.chargeable.advancemailsec,1,391
core.chargeable.exchange,1,392
core.chargeable.advancemailsec,1,393
core.chargeable.exchange,3,396
core.chargeable.advancemailsec,3,399
core.chargeable.exchange,5,404
core.chargeable.advancemailsec,5,409
core.chargeable.exchange,5,414
core.chargeable.advancemailsec,5,419
core.chargeable.exchange,1,420
core.chargeable.advancemailsec,1,421
core.chargeable.exchange,1,422
core.chargeable.advancemailsec,1,423
core.chargeable.exchange,3,426
core.chargeable.advancemailsec,3,429
core.chargeable.exchange,3,432
core.chargeable.advancemailsec,3,435
core.chargeable.exchange,3,438
core.chargeable.advancemailsec,3,441
core.chargeable.exchange,1,442
core.chargeable.advancemailsec,1,443
core.chargeable.exchange,1,444
core.chargeable.advancemailsec,1,445
core.chargeable.exchange,1,446
core.chargeable.sp1gb,1,447
core.chargeable.advancemailsec,1,448
core.chargeable.exchange,1,449
core.chargeable.sp1gb,1,450
core.chargeable.advancemailsec,1,451
core.chargeable.exchange,3,454
core.chargeable.sp1gb,1,455
core.chargeable.advancemailsec,3,458
core.chargeable.exchange,5,463
core.chargeable.sp1gb,1,464
core.chargeable.advancemailsec,5,469
core.chargeable.encrygateway,1,470
core.chargeable.exchange,1,471
core.chargeable.sp1gb,1,472
core.chargeable.advancemailsec,1,473
core.chargeable.exchange,3,476
core.chargeable.sp1gb,1,477
core.chargeable.advancemailsec,3,480
core.chargeable.exchange,1,481
core.chargeable.sp1gb,1,482
